Journal.name,n,X2022.JIF,X2022.JCI
Oncotarget,26,NA,NA
The EMBO Journal,26,11.4,NA
2010 International Conference on Computer Application and System Modeling (ICCASM 2010),25,NA,NA
American Journal of Cancer Research,25,5.3,0.9
Molecular Neurobiology,25,5.1,NA
International Immunopharmacology,24,5.6,1.25
Cancer Biotherapy & Radiopharmaceuticals,23,3.4,0.77
Clinical Cancer Research: An Official Journal of the American Association for Cancer Research,23,11.5,2.53
Immunopharmacology and Immunotoxicology,23,3.3,NA
Nucleic Acids Research,23,14.9,NA
Phytotherapy Research (PTR),23,6.38,NA
Technology in Cancer Research & Treatment,23,2.8,NA
American Journal of Translational Research,22,2.2,0.56
Cancer Biomarkers,22,3.1,0.71
Cancer Biomarkers,22,3.1,0.71
Journal of Cell Science,22,4,NA
The Anatomical Record : Advances in Integrative Anatomy and Evolutionary Biology,22,2,NA
"Drug Design, Development and Therapy",21,4.8,1.124
Evidence-Based Complementary and Alternative Medicine (Ecam),21,2.65,NA
Experimental Cell Research,21,3.7,NA
Molecular and Cellular Biochemistry,21,4.3,NA
Molecules and Cells,21,3.8,NA
Oncogene,21,8,NA
Oncology Research Featuring Preclinical and Clinical Cancer Therapeutics,21,NA,NA
2011 International Conference on E-Business and E-Government (ICEE),20,NA,NA
Infection and Immunity,20,3.1,NA
Stem Cell Research & Therapy,20,7.5,1.36
Circulation,19,37.8,NA
DNA and Cell Biology,19,3.1,NA
Genetics and Molecular Research (GMR),19,0.4,NA
Journal of Cellular and Molecular Medicine (JCMM),19,5.3,NA
Journal of Neurochemistry (JNC),19,5.546,NA
Molecular Cell,19,16,2.8
2011 Seventh International Conference on Natural Computation,18,NA,NA
Anesthesia & Analgesia,18,5.7,NA
Brain Research,18,2.9,NA
FEBS open bio,18,5.4,NA
International Journal of Clinical and Experimental Medicine,18,NA,NA
Molecular Pharmacology,18,3.6,NA
Nature Communications,18,16.6,3.24
The Scientific World Journal,18,2.98,NA
2010 4th International Conference on Bioinformatics and Biomedical Engineering,17,NA,NA
Bioresource Technology,17,11.4,NA
Cancer Gene Therapy,17,6.4,NA
Molecular Cancer Therapeutics,17,5.7,NA
Naunyn-Schmiedeberg's Archives of Pharmacology,17,NA,NA
American Journal of Physiology - Heart and Circulatory Physiology,16,NA,NA
Biochemistry,16,2.9,NA
Carcinogenesis,16,4.7,NA
Environmental Monitoring and Assessment,16,3,NA
International Journal of Immunopathology and Pharmacology,16,NA,NA
JBUON: Journal of Balkan Union of Oncology,16,NA,NA
Neuroscience,16,3.3,NA
Obstetrics and Gynecology,16,7.623,NA
Biochemical Journal,15,4.1,NA
Brazilian Journal of Medical and Biological Research: Revista Brasileira de Pesquisas MÃ©dicas e BiolÃ³gicas,15,NA,NA
Gene,15,3.5,NA
Journal of Bacteriology,15,NA,NA
Lancet,15,168.9,21.68
Physical Therapy in Sport,15,2.4,0.98
Science and World (ÐÐ°ÑƒÐºÐ° Ð˜ ÐœÐ¸Ñ€),15,NA,NA
World's Poultry Science Journal,15,NA,NA
"Arteriosclerosis, Thrombosis, and Vascular Biology",14,NA,NA
Brain Research Bulletin,14,3.8,NA
Cancer Science,14,5.7,NA
European Journal of Medical Research,14,4.2,NA
Journal of Clinical Microbiology,14,9.4,NA
Journal of Healthcare Engineering,14,3.822,NA
NEJM: The New England Journal of Medicine,14,158.5,NA
Nature Medicine,14,82.9,NA
Neuroscience Letters,14,2.5,NA
Oxidative Medicine and Cellular Longevity,14,7.31,NA
Tissue Engineering and Regenerative Medicine,14,3.6,NA
Acta Biomaterialia,13,9.7,1.66
American Journal of Respiratory Cell and Molecular Biology,13,6.4,NA
Anticancer Research: International Journal of Cancer Research and Treatment,13,2,NA
Cell Biology International,13,3.9,NA
Chemosphere,13,8.8,1.55
European Journal of Anaesthesiology,13,3.6,NA
Frontiers in Physiology,13,4,1
International Journal of Molecular Sciences,13,5.6,NA
International Journal of Systematic and Evolutionary Microbiology,13,2.8,NA
Plant Physiology,13,8.005,NA
2010 3rd International Conference on Computer Science and Information Technology,12,NA,NA
2010 Asia-Pacific Power and Energy Engineering Conference,12,NA,NA
2010 IEEE International Conference on Advanced Management Science (ICAMS 2010),12,NA,NA
American Journal of Physiology - Endocrinology and Metabolism,12,5.1,NA
BMC Cancer,12,3.8,NA
Biosensors & Bioelectronics,12,12.6,NA
Cardiovascular Research,12,10.8,NA
European Journal of Pharmacology,12,5,1.3
Hepatology: Official Journal of the American Association for the Study of Liver Diseases,12,13.5,NA
Journal of Solid State Chemistry,12,3.3,NA
Molecular Endocrinology,12,3.628,NA
Natural Product Research,12,2.2,NA
Nature Cell Biology,12,21.3,NA
Tissue Engineering. Part A,12,NA,NA
Toxicology and Industrial Health,12,1.9,NA
2010 Second International Workshop on Education Technology and Computer Science,11,NA,NA
Biofactors,11,6,NA
"Bioscience, Biotechnology, and Biochemistry",11,1.6,NA
Cancer Prevention Research,11,3.3,0.66
Cell Metabolism,11,29,5.15
Computational Intelligence and Neuroscience,11,NA,NA
Digestive Diseases and Sciences,11,NA,NA
Endocrinology,11,4.8,NA
Frontiers in Pharmacology,11,5.6,1.23
International Journal of Cardiology,11,3.5,0.92
International Research Journal (ÐœÐµÐ¶Ð´ÑƒÐ½Ð°Ñ€Ð¾Ð´Ð½Ñ‹Ð¹ ÐÐ°ÑƒÑ‡Ð½Ð¾-Ð˜ÑÑÐ»ÐµÐ´Ð¾Ð²Ð°Ñ‚ÐµÐ»ÑŒÑÐºÐ¸Ð¹ Ð–ÑƒÑ€Ð½Ð°Ð»),11,NA,NA
Journal of Lipid Research,11,6.5,NA
Molecular Therapy: the Journal of the American Society of Gene Therapy,11,12.4,NA
Neural Regeneration Research,11,6.1,0.86
Neurochemical Research,11,4.4,NA
"Romanian Journal of Functional & Clinical, Macro- & Microscopical Anatomy & of Anthropology",11,NA,NA
The International Journal of Biochemistry & Cell Biology,11,NA,NA
The Journal of Cell Biology,11,7.8,NA
2010 International Conference on Computer and Communication Technologies in Agriculture Engineering,10,NA,NA
American Journal of Physiology - Cell Physiology,10,5.5,NA
American Journal of Physiology - Lung Cellular and Molecular Physiology,10,4.9,NA
American Journal of Respiratory and Critical Care Medicine,10,NA,NA
BMC Complementary Medicine and Therapies,10,3.9,1.07
BioRxiv,10,NA,NA
Bioengineered,10,4.9,1.1
Biological & Pharmaceutical Bulletin,10,NA,NA
British Journal of Anaesthesia,10,9.8,NA
Cell Death and Differentiation,10,NA,NA
Chemico-Biological Interactions,10,NA,NA
Clinical Science,10,6,NA
Haematologica,10,10.1,NA
Indian Journal of Dermatology,10,NA,NA
Journal of Controlled Release: Official Journal of the Controlled Release Society,10,NA,NA
Journal of Ovarian Research,10,4,1.23
Journal of Translational Medicine,10,7.4,1.49
Medicine,10,1.6,NA
Molecular Cancer Research (MCR),10,5.2,NA
Neuropsychiatric Disease and Treatment,10,NA,NA
PLoS Biology,10,9.8,NA
Renewable and Sustainable Energy Reviews,10,NA,NA
The Plant Cell,10,NA,NA
Toxicology,10,4.5,NA
Yonsei Medical Journal,10,NA,NA
2010 2nd International Conference on Computer Engineering and Technology,9,NA,NA
2010 3rd Intl Conference on Computer Science and Information Technology (ICCSIT),9,NA,NA
"2011 International Conference on Consumer Electronics, Communications and Networks",9,NA,NA
ACS Applied Materials & Interfaces,9,9.5,1.46
Acta Pharmacologica Sinica,9,NA,NA
Biochemical Pharmacology,9,NA,NA
Biochimica et Biophysica Acta (BBA),9,NA,NA
Carbohydrate Polymers,9,11.2,2.29
Frontiers in Cell and Developmental Biology,9,5.5,0.87
Frontiers in Immunology,9,7.3,0.96
Frontiers in Plant Science,9,5.6,1.24
Immunity,9,32.4,5.24
Journal of Experimental Botany,9,6.9,NA
Journal of Molecular Neuroscience,9,3.1,NA
Journal of Nutritional Science and Vitaminology,9,NA,NA
Journal of the American Chemical Society,9,15,2.63
Leukemia & Lymphoma,9,2.6,NA
Neurological Sciences: Official Journal of the Italian Neurological Society,9,NA,NA
Neurology,9,9.9,NA
PLoS Genetics,9,4.5,1.31
PLoS Pathogens,9,6.7,1.55
The Journal of Clinical Endocrinology and Metabolism,9,NA,NA
The Journal of Pharmacology and Experimental Therapeutics,9,NA,NA
Transplantation Proceedings,9,NA,NA
eLife,9,7.7,2.07
"2007 1st International Conference on Bioinformatics and Biomedical Engineering, ICBBE",8,NA,NA
ACS Omega,8,4.1,0.65
American Journal of Physiology - Gastrointestinal and Liver Physiology,8,NA,NA
Antioxidants & Redox Signaling,8,NA,NA
Aquaculture Research,8,2,NA
Archives of Virology,8,NA,NA
Biochemical Genetics,8,2.4,NA
British Journal of Pharmacology,8,NA,NA
Cancer,8,6.2,NA
Chinese Medical Journal,8,NA,NA
Clinical and Experimental Pharmacology and Physiology,8,NA,NA
Experimental Animals,8,2.4,NA
Experimental Biology and Medicine: Society for Experimental Biology and Medicine,8,NA,NA
Experimental Physiology,8,NA,NA
Free Radical Biology & Medicine,8,NA,NA
Frontiers in Microbiology,8,5.2,0.96
Human Cell,8,4.3,0.57
Hypertension,8,8.3,NA
International Journal of Preventive Medicine (IJPM),8,NA,NA
Journal of Ambient Intelligence and Humanized Computing,8,NA,NA
Journal of Clinical Oncology : Official Journal of the American Society of Clinical Oncology,8,NA,NA
Journal of General Virology,8,3.8,NA
Journal of Hazardous Materials,8,NA,NA
Journal of Medicinal Chemistry,8,8.039,NA
Journal of Microbiology and Biotechnology,8,NA,NA
Journal of Neuro-Oncology,8,NA,NA
Journal of the Renin-Angiotensin-Aldosterone System(JRAAS),8,NA,NA
Mediators of Inflammation,8,NA,NA
Medical Oncology,8,NA,NA
Microbial Pathogenesis,8,NA,NA
Pharmaceutical Research,8,NA,NA
Physiology and Molecular Biology of Plants: An International Journal of Functional Plant Biology,8,NA,NA
"Plant Cell, Tissue and Organ Culture (PCTOC)",8,NA,NA
Science of The Total Environment,8,9.8,1.68
"Spectrochimica Acta Part A, Molecular and Biomolecular Spectroscopy",8,NA,NA
Stem Cells and Development,8,NA,NA
Talanta,8,NA,NA
The Annals of Thoracic Surgery,8,NA,NA
Transplantation,8,NA,NA
Wiadomosci lekarskie: Organ Polskiego Towarzystwa Lekarskiego,8,NA,NA
World Journal of Surgical Oncology,8,3.2,0.99
2009 3rd International Conference on Bioinformatics and Biomedical Engineering,7,NA,NA
2009 International Conference on Management and Service Science,7,NA,NA
Agricultural and Forest Meteorology,7,NA,NA
Applied Microbiology and Biotechnology,7,NA,NA
Applied and Environmental Microbiology,7,NA,NA
BMJ Case Reports,7,NA,NA
Biological Trace Element Research,7,NA,NA
Bioorganic & Medicinal Chemistry Letters,7,NA,NA
Biophysical Journal,7,NA,NA
Biotechnology Letters,7,NA,NA
British Journal of Cancer,7,NA,NA
Clinical Neurophysiology,7,NA,NA
Computational and Mathematical Methods in Medicine,7,NA,NA
Current Biology (CB),7,NA,NA
Diabetologia,7,NA,NA
Environmental Research,7,NA,NA
Experimental Eye Research,7,NA,NA
Food and Chemical Toxicology: an International Journal Published for the British Industrial Biological Research Association,7,NA,NA
Gynecologic Oncology,7,4.7,1.35
IOP Conference Series: Earth and Environmental Science,7,NA,NA
Inflammation,7,NA,NA
Inflammation Research,7,NA,NA
Izvestiya of the Orenburg State Agrarian University (Ð˜Ð—Ð’Ð•Ð¡Ð¢Ð˜Ð¯ ÐžÐ Ð•ÐÐ‘Ð£Ð Ð“Ð¡ÐšÐžÐ“Ðž Ð“ÐžÐ¡Ð£Ð”ÐÐ Ð¡Ð¢Ð’Ð•ÐÐÐžÐ“Ðž ÐÐ“Ð ÐÐ ÐÐžÐ“Ðž Ð£ÐÐ˜Ð’Ð•Ð Ð¡Ð˜Ð¢Ð•Ð¢Ð),7,NA,NA
Journal of Agricultural and Food Chemistry,7,NA,NA
Journal of Applied Physiology,7,NA,NA
Journal of Biochemical and Molecular Toxicology,7,NA,NA
Journal of Food Processing and Preservation,7,NA,NA
Journal of Inflammation Research,7,NA,NA
Journal of Molecular Biology,7,NA,NA
Journal of Parasitic Diseases: Official Organ of the Indian Society for Parasitology,7,NA,NA
Microbiology,7,NA,NA
Molecular Biology of the Cell,7,NA,NA
Molecules: A Journal of Synthetic Chemistry and Natural Product Chemistry,7,NA,NA
Nanoscale Research Letters,7,6.5,0.78
Parasitology Research,7,NA,NA
Pharmacological Reports,7,4.4,0.91
Plastic and Reconstructive Surgery,7,NA,NA
Romanian Journal of Morphology and Embryology,7,1,0.19
Terrestrial Earthworms (Oligochaeta: Opisthopora) of China,7,NA,NA
The American Journal of Pathology,7,NA,NA
The Journal of Steroid Biochemistry and Molecular Biology,7,NA,NA
2009 International Forum on Information Technology and Applications,6,NA,NA
2011 2nd IEEE International Conference on Emergency Management and Management Sciences,6,NA,NA
2011 IEEE Power Engineering and Automation Conference,6,NA,NA
AAPS PharmSciTech,6,NA,NA
American Journal of Physiology - Renal Physiology,6,NA,NA
Apoptosis: An International Journal on Programmed Cell Death,6,NA,NA
Archives of Biochemistry and Biophysics,6,NA,NA
BJU International,6,NA,NA
BMC Complementary and Alternative Medicine,6,NA,NA
BMC Musculoskeletal Disorders,6,NA,NA
BMJ: British Medical Journal,6,NA,NA
Biochemistry and Cell Biology: Biochimie et Biologie Cellulaire,6,NA,NA
Biochimie,6,NA,NA
Biological Psychiatry,6,10.6,2.37
Biology Letters,6,3.3,0.86
Biology of Reproduction,6,NA,NA
Bioorganic & Medicinal Chemistry,6,NA,NA
Bone,6,NA,NA
Breast Cancer Research and Treatment,6,NA,NA
Cancer Biology & Therapy,6,NA,NA
Chemical Communications,6,NA,NA
Diabetes Care,6,NA,NA
EBioMedicine,6,11.1,2.31
Environmental Science & Technology,6,NA,NA
Environmental Toxicology,6,NA,NA
European Journal of Immunology,6,NA,NA
European Journal of Medicinal Chemistry,6,NA,NA
Food Chemistry,6,8.8,1.87
Genes & Development,6,NA,NA
Genetic Testing and Molecular Biomarkers,6,NA,NA
Glia,6,NA,NA
Human and Experimental Toxicology,6,NA,NA
ICIMTECH 21: The Sixth International Conference on Information Management and Technology,6,NA,NA
International Journal of Biological Sciences,6,9.2,1.69
JAMA: Journal of the American Medical Association,6,NA,NA
Journal of Bone and Mineral Research: the Official Journal of the American Society for Bone and Mineral Research,6,NA,NA
Journal of Cancer,6,3.9,0.77
Journal of Cancer Research and Clinical Oncology,6,NA,NA
Journal of Drug Targeting,6,NA,NA
Journal of Huazhong University of Science and Technology. Medical sciences: Hua zhong ke ji da xue xue bao. Yi xue Ying De wen ban: Huazhong keji daxue xuebao. Yixue Yingdewen ban,6,NA,NA
Journal of Molecular Medicine: Official Organ of the Gesellschaft Deutscher Naturforscher und Ã„rzte,6,NA,NA
Journal of Nanoparticle Research,6,NA,NA
Journal of Neurotrauma,6,NA,NA
Journal of Pharmacological Sciences,6,3.5,0.92
Leukemia,6,NA,NA
Molecular Medicine,6,NA,NA
Neuroimage,6,NA,NA
Open Biology,6,5.8,0.72
Oral Oncology,6,NA,NA
"PACCS 2011: 2011 3rd Pacific-Asia Conference on Circuits, Communications and System",6,NA,NA
Pakistan Journal of Zoology,6,NA,NA
Pathology: Research and Practice,6,NA,NA
Reproduction in Domestic Animals,6,NA,NA
Stem Cells,6,NA,NA
The Journal of Experimental Medicine,6,NA,NA
The Journal of General Virology,6,NA,NA
The Journal of Physiology,6,NA,NA
Thorax,6,NA,NA
Veterinary Microbiology,6,NA,NA
XXI Century: Results of the Past and Problems of the Present Plus (Xxi Ð’ÐµÐº: Ð˜Ñ‚Ð¾Ð³Ð¸ ÐŸÑ€Ð¾ÑˆÐ»Ð¾Ð³Ð¾ Ð˜ ÐŸÑ€Ð¾Ð±Ð»ÐµÐ¼Ñ‹ ÐÐ°ÑÑ‚Ð¾ÑÑ‰ÐµÐ³Ð¾ ÐŸÐ»ÑŽÑ),6,NA,NA
2010 2nd International Conference on Industrial and Information Systems,5,NA,NA
Acta Anaesthesiologica Scandinavica,5,NA,NA
Advancements of Microbiology (PostÄ™py Mikrobiologii),5,NA,NA
American Heart Journal,5,NA,NA
Analyst,5,NA,NA
Analytical Chemistry,5,NA,NA
Angiogenesis,5,NA,NA
Antimicrobial Agents and Chemotherapy,5,NA,NA
Archives of Pharmacal Research,5,NA,NA
Asian Pacific Journal of Cancer Prevention (APJCP),5,NA,NA
BMC Gastroenterology,5,NA,NA
BMC Surgery,5,NA,NA
Basic & Clinical Pharmacology & Toxicology,5,NA,NA
BioScience Trends,5,5.5,1.34
Biology Open,5,2.4,0.64
Biotechnology Advances,5,NA,NA
Brain Injury,5,NA,NA
British Journal of Haematology,5,NA,NA
Bulletin of APK Verkhnevolzhya (Ð’ÐµÑÑ‚Ð½Ð¸Ðº ÐÐ¿Ðº Ð’ÐµÑ€Ñ…Ð½ÐµÐ²Ð¾Ð»Ð¶ÑŒÑ),5,NA,NA
Cancer Chemotherapy and Pharmacology,5,NA,NA
Cancer Genetics,5,1.9,0.42
Cancer Genetics,5,1.9,0.42
Cell Biochemistry and Biophysics,5,NA,NA
Cell and Tissue Research,5,NA,NA
Cellular & Molecular Immunology,5,24.1,1.98
Cellular Signalling,5,NA,NA
Cellular and Molecular Neurobiology,5,NA,NA
Clinical Anatomy,5,NA,NA
Coatings,5,3.4,0.59
Cognition,5,NA,NA
Cureus,5,NA,NA
Cytokine,5,NA,NA
DNA Repair,5,NA,NA
"Dendrology: Cones, Flowers, Fruits and Seeds",5,NA,NA
Development,5,NA,NA
Diseases of the Colon and Rectum,5,NA,NA
EMBO Reports,5,NA,NA
Environmental Earth Sciences,5,NA,NA
Environmental Geochemistry and Health,5,NA,NA
Environmental Health Perspectives,5,NA,NA
Environmental Pollution,5,NA,NA
Experimental & Molecular Medicine,5,NA,NA
Experimental Parasitology,5,NA,NA
Fish & Shellfish Immunology,5,NA,NA
Frontiers in Cellular Neuroscience,5,NA,NA
Indian Journal of Medical Research,5,NA,NA
Industrial Crops and Products,5,NA,NA
Intensive Care Medicine,5,NA,NA
International Heart Journal,5,NA,NA
International Journal of Biological Macromolecules,5,8.2,1.44
International Journal of Electrical Engineering & Education,5,NA,NA
International Journal of Legal Medicine,5,NA,NA
Investigative Ophthalmology & Visual Science,5,NA,NA
Journal of Biochemistry,5,2.7,0.45
Journal of Cardiovascular Pharmacology,5,NA,NA
Journal of Ethnopharmacology,5,NA,NA
Journal of Food Safety,5,NA,NA
Journal of Hepatology,5,NA,NA
Journal of Microbiology,5,NA,NA
Journal of Molecular and Cellular Cardiology,5,NA,NA
Journal of Neurophysiology,5,NA,NA
Journal of Neuroscience Research,5,NA,NA
Journal of Obstetrics and Gynaecology : the Journal of the Institute of Obstetrics and Gynaecology,5,NA,NA
Journal of Oleo Science,5,NA,NA
Journal of Pineal Research,5,NA,NA
Journal of Receptors and Signal Transduction,5,NA,NA
Journal of Reproductive Immunology,5,NA,NA
Journal of Theoretical Biology,5,NA,NA
Microbiological Research,5,NA,NA
Mitochondrial DNA Part B,5,NA,NA
Molecular Immunology,5,NA,NA
Molecular Microbiology,5,NA,NA
Molecular Vision,5,NA,NA
Nanomedicine,5,5.5,0.7
Nanoscale,5,6.7,1.13
Nature Biotechnology,5,NA,NA
Nature Chemical Biology,5,14.8,2.77
Neural Computing and Applications,5,NA,NA
Neuro-Oncology,5,NA,NA
"Neurological Research A Journal of Progress in Neurosurgery, Neurology and Neurosciences",5,NA,NA
Neuron,5,16.2,3.62
Neuroreport,5,NA,NA
Oncology,5,NA,NA
Pathogens and Disease (formerly FEMS Immunology and Medical Microbiology),5,NA,NA
PeerJ,5,2.7,0.73
"Pharmacology, Biochemistry, and Behavior",5,NA,NA
Phytomedicine,5,NA,NA
Problems of Development of Agricultural Industry of the Region (ÐŸÑ€Ð¾Ð±Ð»ÐµÐ¼Ñ‹ Ð Ð°Ð·Ð²Ð¸Ñ‚Ð¸Ñ ÐÐ¿Ðº Ð ÐµÐ³Ð¸Ð¾Ð½Ð°),5,NA,NA
Proceedings. Biological sciences: The Royal Society,5,NA,NA
Science Advances,5,13.6,2.84
Science Translational Medicine,5,17.1,3.39
Sensors and Actuators B: Chemical,5,NA,NA
"South of Russia: Ecology, Development (Ð®Ð³ Ð Ð¾ÑÑÐ¸Ð¸: Ð­ÐºÐ¾Ð»Ð¾Ð³Ð¸Ñ, Ð Ð°Ð·Ð²Ð¸Ñ‚Ð¸Ðµ)",5,NA,NA
The American Journal of Cardiology,5,NA,NA
The European Journal of Neuroscience,5,NA,NA
The International Journal of Neuroscience,5,NA,NA
The Journal of Pathology,5,NA,NA
The Laryngoscope,5,NA,NA
The Open Biomedical Engineering Journal,5,NA,NA
The Plant Journal,5,NA,NA
Urology,5,NA,NA
"Work: A Journal of Prevention, Assessment & Rehabilitation",5,NA,NA
2010 International Conference on Management and Service Science,4,NA,NA
"2013 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering",4,NA,NA
ACS Biomaterials Science & Engineering,4,5.7,0.84
AIDS Research and Human Retroviruses,4,NA,NA
"APMIS: Acta Pathologica, Microbiologica, et Immunologica Scandinavica",4,NA,NA
Acta Neuropathologica Communications,4,7.1,1.6
Alimentary Pharmacology & Therapeutics,4,NA,NA
American Journal of Human Genetics,4,NA,NA
American Journal of Obstetrics and Gynecology,4,NA,NA
American Journal of Plant Sciences,4,NA,NA
Andrologia,4,NA,NA
Animal: An International Journal of Animal Bioscience,4,NA,NA
Annals of Translational Medicine,4,NA,NA
Anti-Cancer Drugs,4,NA,NA
Archives of Orthopedic and Trauma Surgery,4,NA,NA
Asian Pacific Journal of Tropic Medicine,4,NA,NA
BJOG: British Journal of Obstetrics and Gynaecology,4,NA,NA
BMC Genomics,4,NA,NA
BMC Neuroscience,4,NA,NA
BMC Plant Biology,4,NA,NA
BMC Research Notes,4,NA,NA
Basic Research in Cardiology,4,NA,NA
Biochemistry (Moscow),4,NA,NA
Biomaterials Science,4,6.6,0.99
"Blood Cells, Molecules, and Diseases",4,NA,NA
Brain,4,NA,NA
Breast cancer: Targets and Therapy,4,NA,NA
British Journal of Ophthalmology,4,NA,NA
Bulletin of the Russian University of People's Friendship. Series: Agronomy and Livestock (Ð’ÐµÑÑ‚Ð½Ð¸Ðº Ð Ð¾ÑÑÐ¸Ð¹ÑÐºÐ¾Ð³Ð¾ Ð£Ð½Ð¸Ð²ÐµÑ€ÑÐ¸Ñ‚ÐµÑ‚Ð° Ð”Ñ€ÑƒÐ¶Ð±Ñ‹ ÐÐ°Ñ€Ð¾Ð´Ð¾Ð². Ð¡ÐµÑ€Ð¸Ñ: ÐÐ³Ñ€Ð¾Ð½Ð¾Ð¼Ð¸Ñ Ð˜ Ð–Ð¸Ð²Ð¾Ñ‚Ð½Ð¾Ð²Ð¾Ð´ÑÑ‚Ð²Ð¾),4,NA,NA
CNS Neuroscience & Therapeutics,4,5.5,1.3
Canadian Journal of Anaesthesia: Journal Canadien d'AnesthÃ©sie,4,NA,NA
Cancer Cell,4,NA,NA
Cancer Medicine,4,4,0.77
Cell Biochemistry and Function,4,NA,NA
Cell Research,4,NA,NA
Cell Stress and Chaperones,4,NA,NA
Cell Transplantation,4,NA,NA
Cells,4,6,0.7
Cellular Immunology,4,NA,NA
Cellular and Molecular Biology,4,NA,NA
Cellular and Molecular Life Sciences (CMLS),4,NA,NA
Chemical Engineering Journal,4,15.1,1.99
Chemistry: A European Journal,4,NA,NA
Clinical Biochemistry,4,NA,NA
Clinical Oral Implants Research,4,NA,NA
Clinical and Experimental Immunology,4,NA,NA
Colloids and Surfaces B: Biointerfaces,4,NA,NA
Critical Care Medicine,4,NA,NA
Critical Reviews in Food Science and Nutrition,4,NA,NA
Crop Protection,4,2.8,1
Current Eye Research,4,NA,NA
Current Science,4,NA,NA
Digestive Diseases,4,NA,NA
Ecology and Evolution,4,2.6,0.69
Environmental Science and Pollution Research International (ESPR),4,NA,NA
European Journal of Cancer,4,NA,NA
European Journal of Cardio-Thoracic Surgery: Official Journal of the European Association for Cardio-thoracic Surgery,4,NA,NA
European Journal of Pediatric Surgery: Official Journal of Austrian Association of Pediatric Surgery,4,NA,NA
European Journal of Surgical Oncology:,4,NA,NA
European Urology,4,NA,NA
Food & Function,4,6.1,1.15
Frontiers in Neuroscience,4,4.3,0.87
Gene Therapy,4,NA,NA
Genes to Cells: Devoted to Molecular & Cellular Mechanisms,4,NA,NA
