Actual reason,New label,Freq,percentage
Investigation by Third Party,Ethical and Regulatory compliance issue,1364,3.600939835
Lack of Approval from Author,Ethical and Regulatory compliance issue,191,0.504237176
Lack of Approval from Company/Institution,Ethical and Regulatory compliance issue,83,0.219118773
Lack of Approval from Third Party,Ethical and Regulatory compliance issue,118,0.311518255
Lack of IRB/IACUC Approval,Ethical and Regulatory compliance issue,206,0.543836955
Legal Reasons/Legal Threats,Ethical and Regulatory compliance issue,42,0.110879379
Manipulation of Images,Image Integrity,896,2.365426754
Manipulation of Results,Data Integrity,29,0.076559571
Miscommunication by Author,Ethical and Regulatory compliance issue,47,0.124079305
Miscommunication by Company/Institution,Ethical and Regulatory compliance issue,4,0.010559941
Miscommunication by Journal/Publisher,Ethical and Regulatory compliance issue,9,0.023759867
Miscommunication by Third Party,Ethical and Regulatory compliance issue,7,0.018479897
Misconduct - Official Investigation/Finding,Ethical and Regulatory compliance issue,698,1.842709681
Misconduct by Author,Ethical and Regulatory compliance issue,829,2.188547744
Misconduct by Company/Institution,Ethical and Regulatory compliance issue,5,0.013199926
Misconduct by Third Party,Ethical and Regulatory compliance issue,16,0.042239763
No Further Action,Other,2,0.00527997
Nonpayment of Fees/Refusal to Pay,Publication Integrity,4,0.010559941
Notice - Limited or No Information,Other,1503,3.96789778
Notice - Unable to Access via current resources,Other,85,0.224398743
Objections by Author(s),Ethical and Regulatory compliance issue,239,0.630956467
Objections by Company/Institution,Ethical and Regulatory compliance issue,17,0.044879749
Objections by Third Party,Ethical and Regulatory compliance issue,411,1.085033924
Original Data Not Provided,Data Integrity,965,2.547585734
Paper Mill,Publication Integrity,1329,3.508540352
Plagiarism of Article,Publication Integrity,600,1.58399113
Plagiarism of Data,Data Integrity,138,0.36431796
Plagiarism of Image,Image Integrity,160,0.422397635
Plagiarism of Text,Text Integrity,464,1.22495314
Publishing Ban,Other,21,0.05543969
Randomly Generated Content,Publication Integrity,252,0.665276274
Results Not Reproducible,Study Quality Issue,608,1.605111011
Retract and Replace,Publication Integrity,131,0.345838063
Rogue Editor,Publication Integrity,236,0.623036511
Sabotage of Materials,Study Quality Issue,1,0.002639985
Salami Slicing,Data Integrity,10,0.026399852
Taken from Dissertation/Thesis,Publication Integrity,35,0.092399483
Taken via Peer Review,Publication Integrity,2,0.00527997
Temporary Removal,Other,5,0.013199926
Transfer of Copyright/Ownership,Publication Integrity,3,0.007919956
Unreliable Data,Data Integrity,682,1.800469917
Unreliable Image,Image Integrity,146,0.385437842
Unreliable Results,Study Quality Issue,1738,4.588294306
Updated to Retraction,Other,12,0.031679823
Upgrade/Update of Prior Notice,Other,660,1.742390243
Withdrawal,Other,692,1.82686977
Withdrawn (out of Date),Other,5,0.013199926
Withdrawn to Publish in Different Journal,Other,91,0.240238655
Notice - No/Limited Information,Other,18,0.047519734
